,1_1,1_2,1b24_1,1b24_2,1b60_1,1b60_2,6_1,6_2,6a24_1,6a24_2,6a60_1,6a60_2,6b24_1,6b24_2,6b60_1,6b60_2
BTBD16__chr10,3.537764351,12.43184219,0,0,0,0,8.345909974,16.15692201,5.248694052,0,2.103157121,35.93125149,8.210198043,0,1.922494704,2.558241122
BTBD19__chr1,0,0,0,0,0,0,0,0,0,0,0,1.585202272,0,0,0,0
BTBD2__chr19,157.6832111,77.51619246,194.9178323,278.2190277,159.5920187,131.1685652,290.8228629,237.6017943,167.4810557,155.0321233,176.6651982,171.2018453,163.4575792,103.6789011,167.8978708,172.4254516
BTBD3__chr20,63.67975831,65.08435028,55.47661381,86.11541333,44.73412645,35.3146137,116.2007466,82.68542442,77.77610277,56.89252232,87.80680981,95.64053705,79.11645387,166.7877975,57.03400954,91.58503218
BTBD6__chr14,99.05740182,81.17261664,136.4424826,110.9563979,61.66055268,25.22472407,64.19930749,69.37972393,131.6945053,128.0081752,77.2910242,82.43051812,76.13092731,117.2022361,89.7164195,107.4461271
BTBD7__chr14,133.9296504,79.71004697,92.96081233,140.7655795,122.1120749,105.9438411,116.2007466,141.6106694,100.202341,96.71728794,88.85838837,89.82812872,58.21776794,85.6477879,183.91866,127.9120561
BTBD8__chr1,0,0,0,0,0,0,0,0,0,0,2.103157121,0,0,0,0,0
BTBD9__chr6,52.56107035,38.0268114,34.48546264,41.40164102,45.9431569,35.3146137,32.74164682,15.20651484,41.98955241,21.33469587,31.02156754,38.04485452,36.57270038,63.10889635,22.42910487,31.72218992
BTC__chr4,22.23737592,5.118993842,10.49557559,11.59245949,10.881274,25.22472407,0,0.950407177,10.4973881,8.533878348,1.051578561,4.227206057,2.985526561,0,7.049147246,7.674723367
BTD__chr3,185.9853259,176.97093,61.47408558,76.17901948,228.506754,216.932627,115.5587535,77.93338853,52.00978651,51.20327009,69.404185,52.84007572,40.30460858,72.12445297,79.46311441,84.93360526
BTF3__chr5,1701.664653,1987.63218,2064.629655,1988.934835,1823.21791,1533.663224,1881.03971,2354.158578,2109.497855,2063.776247,1824.488803,2044.91093,2248.847882,2853.423671,1799.455042,1988.265
BTF3L4__chr1,136.9620199,157.2262394,148.4374261,205.3521395,142.6655925,151.3483444,191.3139363,255.6595307,204.221914,160.7213756,210.3157121,209.2466998,204.5085694,631.0889635,219.1643962,243.5445548
BTF3P11__chr13,0.505394907,0.731284835,0,0,0,0,0,0,0,1.422313058,0.52578928,0,0,0,0,0
BTG1__chr12,345.1847216,364.1798476,305.8710599,339.4934564,362.7091334,353.146137,446.1851871,377.3116493,196.1102959,157.8767494,169.8299375,183.3550627,246.3059413,365.1300432,174.3061865,208.7524756
BTG2__chr1,187.5015106,162.3452333,158.9330017,165.6065641,198.2809929,176.5730685,385.837838,386.8157211,193.2473719,118.0519838,270.7814793,244.1211498,194.8056081,94.66334453,223.0093856,261.9638909
BTG3__chr21,57.61501942,57.77150193,65.9721894,14.90459077,65.28764401,121.0786755,100.7929128,102.6439751,91.6135689,61.15946149,98.32259541,91.94173175,134.3486953,175.8033541,90.99808263,96.70151442
BTN1A1__chr6,6.570133794,5.850278676,0,0,7.254182668,0,0,0,4.771540047,0,0,1.585202272,0,0,6.408315678,0
BTN2A1__chr6,84.90634441,81.90390147,23.98988705,31.46524718,51.98830912,85.76406184,30.8156676,38.01628709,52.48694052,44.0917048,45.74366738,40.6868583,51.50033318,76.63223128,39.73155721,38.37361683
BTN2A2__chr6,4.548554165,2.193854504,1.499367941,0,4.836121778,15.13483444,5.135944599,0,2.385770024,0,3.154735682,3.6988053,1.492763281,0,8.97164195,2.558241122
BTN2A3P__chr6,1.516184722,0.731284835,0,0,2.418060889,0,0,0,0.477154005,0,1.051578561,1.056801514,0,0,0.640831568,1.534944673
BTN3A1__chr6,28.3021148,21.2072602,19.49178323,29.80918154,43.52509601,55.49439296,16.69181995,18.05773637,5.725848057,5.689252232,18.40262481,16.38042347,9.702961324,58.60111804,23.06993644,15.86109496
BTN3A2__chr6,29.81829953,18.28212086,19.49178323,34.77737846,43.52509601,35.3146137,21.82776455,38.01628709,10.97454211,18.49006975,31.02156754,15.32362196,27.61612069,4.507778311,23.71076801,16.37274318
BTN3A3__chr6,8.591713423,6.581563511,11.99494353,1.656065641,14.50836534,5.044944814,11.55587535,6.65285024,0,9.956191406,17.35104625,6.340809086,1.492763281,0,19.8657786,17.90768786
BTNL3__chr5,781.3405266,802.2194635,281.8811729,351.0859159,1200.567232,1008.988963,80.89112744,46.56995168,102.588111,91.02803571,63.09471363,82.95891888,105.9861929,108.1866795,64.08315678,46.55998843
BTNL8__chr5,388.1432887,290.3200793,233.9013988,154.0141046,442.5051427,353.146137,90.52102356,54.1732091,109.7454211,91.02803571,83.07470628,80.84531585,74.63816403,54.09333973,55.7523464,51.67647067
BTNL9__chr5,9.602503237,6.581563511,1.499367941,13.24852513,6.045152223,181.6180133,1.925979225,3.801628709,8.588772085,7.11156529,8.938417765,5.812408329,6.717434763,4.507778311,14.09829449,1.023296449
BTRC__chr10,30.82908934,43.14580524,19.49178323,38.08950974,44.73412645,30.26966889,26.96370915,34.21465838,35.30939635,34.13551339,43.64051026,34.87444997,100.0151398,27.04666986,33.9640731,39.90856151
BUB1__chr2,13.64566249,12.43184219,1.499367941,1.656065641,2.418060889,5.044944814,61.63133519,66.5285024,51.53263251,56.89252232,105.1578561,99.33934235,47.76842498,22.53889155,115.9905138,76.23558544
BUB1B__chr15,29.31290462,30.71396305,4.498103823,4.968196923,9.672243557,35.3146137,99.50892661,87.4374603,59.16709658,44.0917048,110.9415381,117.8333689,52.99309646,157.7722409,112.7863559,127.4004079
BUB3__chr10,266.848511,323.2278969,317.8660035,291.4675528,284.1221545,383.4158059,430.1353602,514.1702829,478.1083127,382.6022126,533.1503302,564.3320087,427.6766799,576.9956238,541.5026748,594.5352368
BUD13__chr11,19.71040138,44.60837491,32.9860947,43.05770666,32.643822,30.26966889,83.45909974,50.37158039,37.69516637,17.0677567,94.64207045,49.66967117,29.10888397,13.52333493,59.59733581,29.67559702
BUD31__chr7,76.8200259,100.9173072,134.9431147,87.77147897,72.54182668,171.5281237,104.0028781,97.89193925,143.1462014,150.7651841,99.89996325,148.4806128,114.9427726,99.17112284,105.7372087,139.6799653
BVES__chr6,2.021579629,0,1.499367941,0,1.209030445,0,0.641993075,10.45447895,0,0,0,0.528400757,1.492763281,0,1.281663136,0
BYSL__chr6,21.2265861,16.08826636,29.98735882,36.4334441,24.18060889,20.17977926,32.09965375,66.5285024,35.78655035,46.93633091,55.20787443,50.72647269,54.48585974,45.07778311,76.89978814,44.51339553
BZW1__chr2,948.1208459,1119.597082,1156.012682,1036.697091,778.6156063,716.3821636,1247.392545,1039.745452,1215.788404,1231.723108,984.2775327,1098.545174,1321.095503,1446.996838,1068.266224,1050.925453
BZW2__chr7,137.4674148,108.9614403,182.9228888,195.4157456,132.9933489,126.1236204,181.0420471,221.4448723,223.7852282,164.9883147,229.2441262,242.0075468,240.3348882,216.3733589,233.9035223,213.3573096
C10orf10__chr10,9.09710833,8.04413318,8.996207645,13.24852513,4.836121778,25.22472407,0,2.851221532,4.771540047,2.844626116,1.051578561,1.585202272,16.42039609,22.53889155,0,3.581537571
C10orf11__chr10,0,0,0,0,0,0,2.5679723,0,0.477154005,0,0,0,0,0,0.640831568,2.046592898
C10orf111__chr10,0,0,0,3.312131282,6.045152223,0,0,10.45447895,2.385770024,0,0,0,0,0,0,4.093185796
C10orf12__chr10,20.21579629,35.10167206,10.49557559,8.280328205,38.68897423,30.26966889,18.61779917,29.46262249,31.49216431,32.71320033,26.28946401,44.91406436,9.702961324,9.015556622,18.58411547,7.674723367
C10orf126__chr10,1.010789814,1.462569669,2.998735882,0,0,5.044944814,0,0.950407177,0,0,0,0,0.74638164,0,0,0
C10orf131__chr10,1.516184722,2.925139338,8.996207645,0,0,0,0,0,0.477154005,0,1.577367841,0.528400757,2.985526561,0,1.281663136,2.046592898
C10orf2__chr10,15.16184722,13.16312702,4.498103823,13.24852513,24.18060889,15.13483444,8.345909974,12.3552933,16.70039016,24.17932199,21.03157121,13.73841969,20.15230429,0,16.66162076,15.86109496
C10orf25__chr10,0,0.731284835,1.499367941,4.968196923,0,0,1.28398615,1.900814354,4.771540047,0,0.52578928,1.585202272,0,0,0,2.046592898
C10orf35__chr10,20.21579629,13.89441186,13.49431147,24.84098461,30.22576112,10.08988963,17.9758061,18.05773637,54.39555654,7.11156529,14.19631057,14.7952212,14.92763281,13.52333493,27.55575742,14.32615028
C10orf54__chr10,142.0159689,62.89049577,101.95702,137.4534482,123.3211054,247.2022959,39.16157757,22.80977225,96.38510895,179.2114453,38.90840674,28.53364089,79.86283551,18.03111324,35.8865678,32.23383814
C10orf55__chr10,1.516184722,0,8.996207645,0,2.418060889,0,0,1.900814354,0,0,2.103157121,0.528400757,0.74638164,0,0,0.511648224
C10orf67__chr10,0,2.925139338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf76__chr10,68.73370738,41.68323557,80.96586881,77.83508512,66.49667445,126.1236204,37.23559835,38.01628709,54.87271054,28.44626116,37.3310389,48.0844689,50.75395154,18.03111324,33.9640731,45.02504375
C10orf82__chr10,0,0,0,0,0,0,0,0,0,0,0,0,11.1957246,0,0,0
C10orf88__chr10,54.58264998,23.40111471,11.99494353,8.280328205,25.38963934,40.35955851,39.16157757,27.56180814,80.6390268,28.44626116,32.0731461,28.53364089,5.971053122,0,29.47825212,14.83779851
C10orf95__chr10,0.505394907,0.731284835,2.998735882,14.90459077,3.627091334,10.08988963,3.209965375,5.702443063,7.157310071,9.956191406,2.103157121,2.113603029,0.74638164,0,2.563326271,3.069889347
C10orf99__chr10,26.28053518,89.94803465,49.47914205,13.24852513,210.3712974,100.8988963,3.209965375,0,88.75064488,81.0718443,28.39262114,24.83483559,44.78289842,166.7877975,39.09072564,11.25626094
C11orf1__chr11,110.1760898,140.4066882,59.97471763,112.6124636,101.5585573,40.35955851,120.052705,172.0236991,173.6840577,125.1635491,127.7667951,166.9746393,138.8269851,184.8189107,118.5538401,182.1467679
C11orf24__chr11,263.8161416,216.460311,200.9153041,231.8491897,472.7309038,297.651744,245.8833477,156.8171842,301.561331,210.5023326,242.3888582,239.8939438,203.0158062,256.9433637,273.6350795,305.9656382
C11orf31__chr11,244.6111351,321.7653272,362.8470417,352.7419815,309.5117938,307.7416337,318.4285652,299.3782608,282.9523248,294.418803,274.4620043,324.4380649,412.0026655,703.2134165,288.3742055,325.919919
C11orf45__chr11,28.3021148,10.96927252,5.997471763,6.624262564,55.61540045,0,7.061923824,12.3552933,6.203002061,0,6.309471363,33.81764846,5.224671482,13.52333493,5.126652543,3.069889347
C11orf49__chr11,66.71212775,56.30893226,59.97471763,69.55475692,51.98830912,15.13483444,128.398615,107.396011,59.16709658,46.93633091,74.6620778,61.82288859,38.06546366,9.015556622,82.02644068,80.32877124
C11orf53__chr11,3.032369443,11.70055735,0,0,31.43479156,5.044944814,0,1.900814354,0.477154005,0,4.732103523,4.755606815,0,0,2.563326271,2.558241122
C11orf54__chr11,125.337937,161.6139484,47.97977411,91.08361025,88.25922246,90.80900666,132.8925665,157.7675914,79.68471879,85.33878348,53.10471731,72.39090373,108.2253378,193.8344674,72.41396717,86.46854993
C11orf57__chr11,71.26068192,92.14188915,38.98356646,110.9563979,77.37794846,166.4831789,111.706795,157.7675914,93.04503092,81.0718443,94.11628117,104.6233499,62.69605779,9.015556622,73.05479873,121.7722774
C11orf58__chr11,319.9149763,331.2720301,445.3122784,498.4757579,316.7659765,443.9551437,489.1987231,503.7158039,538.2297173,416.737726,572.5845262,460.7654603,528.4382013,586.0111804,471.0112024,473.7862558
C11orf63__chr11,0,0,0,3.312131282,0,0,0,0,0,0,0.52578928,0.528400757,0,0,0,0.511648224
C11orf65__chr11,0,1.462569669,0,3.312131282,1.209030445,0,0.641993075,0.950407177,1.908616019,4.266939174,0.52578928,1.585202272,0,0,0,0
C11orf68__chr11,84.40094951,94.33574366,86.96334057,61.27442872,102.7675878,85.76406184,141.8804696,138.7594479,62.50717462,65.42640067,106.7352239,79.26011358,56.72500466,9.015556622,97.40639831,49.11822955
C11orf70__chr11,0,2.193854504,14.99367941,8.280328205,2.418060889,0,9.629896124,19.95855072,9.065926089,0,6.835260644,7.926011358,7.463816403,31.55444818,19.8657786,20.9775772
C11orf71__chr11,93.49805784,110.42401,125.946907,114.2685292,64.07861356,85.76406184,46.22350139,78.88379571,72.05025471,99.56191406,69.92997428,110.964159,91.05856012,72.12445297,116.6313453,67.53756563
C11orf72__chr11,433.6288304,307.8709153,149.9367941,188.7914831,239.388028,408.64053,392.8997619,251.857902,145.5319714,157.8767494,213.4704478,210.3035014,144.0516566,216.3733589,202.5027754,218.4737918
C11orf73__chr11,35.88303841,72.39719862,74.96839704,67.89869128,41.10703512,35.3146137,77.03916899,90.28868183,126.4458112,102.4065402,117.7767988,112.0209605,128.3776421,180.3111324,90.35725107,126.8887597
C11orf74__chr11,15.66724212,5.850278676,17.99241529,13.24852513,13.29933489,20.17977926,16.69181995,29.46262249,8.11161808,17.0677567,21.03157121,11.62481666,4.478289842,27.04666986,28.83742055,9.721316265
C11orf80__chr11,60.14199396,47.53351425,64.47282146,44.71377231,90.67728335,110.9887859,38.5195845,56.07402345,21.94908422,29.86857422,25.76367473,24.83483559,23.13783085,18.03111324,15.37995763,25.58241122
C11orf84__chr11,62.16357359,38.75809623,37.48419852,19.87278769,16.92642622,10.08988963,100.1509197,72.23094547,40.0809364,39.82476562,46.79524595,54.95367875,35.07993709,36.06222649,79.46311441,41.44350618
C11orf86__chr11,65.19594303,87.75418015,2.998735882,3.312131282,67.7057049,15.13483444,14.76584072,14.25610766,20.99477621,12.80081752,26.28946401,31.70404543,29.10888397,45.07778311,21.78827331,12.27955739
C11orf87__chr11,0,0,0,0,0,0,0,0,0,0,0,0,1.492763281,0,0,0
C11orf91__chr11,0.505394907,2.193854504,16.49304735,4.968196923,3.627091334,0,0,1.900814354,1.431462014,7.11156529,0.52578928,0,2.985526561,0,1.281663136,2.046592898
C11orf94__chr11,0,0,0,0,0,0,0,0,0,0,1.051578561,0,0,0,0,0
C11orf95__chr11,13.14026759,6.581563511,13.49431147,1.656065641,6.045152223,5.044944814,20.5437784,14.25610766,2.862924028,2.844626116,3.680524962,6.340809086,4.478289842,0,27.55575742,2.558241122
C11orf96__chr11,2.526974536,0,0,0,0,0,0,0,3.817232038,5.689252232,0,1.056801514,54.48585974,0,5.767484111,2.558241122
C11orf97__chr11,0,0,0,3.312131282,0,0,0,0.950407177,0,0,0,0,0,0,0,0
C11orf98__chr11,4.043159258,8.775418015,13.49431147,6.624262564,9.672243557,35.3146137,3.209965375,7.603257418,14.79177415,17.0677567,8.412628485,20.07922877,15.67401445,0,15.37995763,20.9775772
C12orf10__chr12,37.90461804,34.37038722,70.47029322,67.89869128,79.79600934,30.26966889,69.97724517,80.78461006,56.78132656,76.80490513,86.75523125,91.41333099,40.30460858,13.52333493,91.6389142,71.1191032
C12orf29__chr12,33.86145878,38.75809623,31.48672676,62.93049436,25.38963934,25.22472407,22.46975762,42.76832297,38.64947438,28.44626116,62.04313507,59.70928556,78.37007223,126.2177927,49.34403072,32.23383814
C12orf4__chr12,17.18342685,33.63910239,31.48672676,33.12131282,45.9431569,65.58428259,9.629896124,20.9089579,36.26370436,25.60163504,28.91841042,22.72123256,20.15230429,18.03111324,28.83742055,39.90856151
C12orf42__chr12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023296449
C12orf43__chr12,32.85066897,21.2072602,38.98356646,52.99410051,37.47994378,45.40450333,34.66762605,33.2642512,53.91840253,54.0478962,47.84682451,44.3856636,29.10888397,36.06222649,58.95650424,51.67647067
C12orf45__chr12,50.53949072,68.74077445,70.47029322,84.45934769,30.22576112,85.76406184,50.71745292,57.97483781,133.6031213,54.0478962,101.4773311,111.4925598,121.6602074,117.2022361,105.0963771,150.9362262
C12orf49__chr12,173.3504532,206.9536082,182.9228888,177.1990236,164.4281405,176.5730685,161.1402618,163.4700345,208.0391461,203.3907673,153.5304698,155.3498226,192.5664632,162.2800192,147.3912606,135.0751313
C12orf50__chr12,0,0,0,0,0,0,0,0,1.908616019,0,0,0,0,0,0,0
C12orf56__chr12,3.537764351,2.193854504,0,0,0,0,1.28398615,1.900814354,5.248694052,0,0.52578928,2.113603029,5.224671482,0,0,1.023296449
C12orf57__chr12,268.8700906,348.0915812,404.829344,356.0541128,295.0034285,262.3371303,232.4014931,253.7587163,239.5313104,238.9485937,286.5551578,313.341649,317.9585788,396.6844913,227.4952066,310.5704722
C12orf60__chr12,1.010789814,2.193854504,0,9.936393846,0,0,1.28398615,8.553664595,1.908616019,0,3.154735682,0.528400757,2.985526561,4.507778311,3.204157839,1.534944673
C12orf65__chr12,29.81829953,19.74469053,29.98735882,16.56065641,20.55351756,0,35.9516122,68.42931676,20.5176222,28.44626116,32.59893538,31.70404543,26.86973905,0,43.57654661,31.21054169
C12orf66__chr12,18.19421666,10.96927252,11.99494353,14.90459077,22.97157845,0,55.21140444,15.20651484,36.26370436,49.78095703,44.16629954,47.02766739,23.13783085,18.03111324,35.24573623,27.62900412
C12orf73__chr12,9.602503237,12.43184219,19.49178323,6.624262564,9.672243557,15.13483444,14.12384765,30.41302967,20.5176222,17.0677567,8.938417765,13.73841969,31.34802889,31.55444818,14.73912606,22.00087365
C12orf74__chr12,2.021579629,0,0,0,0,0,0,0,1.908616019,0,0,0,0,0,0,0
C12orf75__chr12,944.5830816,1073.526137,863.6359339,763.4462605,645.6222574,469.1798677,607.967442,610.1614078,696.6448469,665.6425111,614.6476687,599.2064586,766.5339446,1442.489059,604.945,705.0512533
C12orf76__chr12,10.61329305,13.16312702,17.99241529,3.312131282,1.209030445,0,11.55587535,14.25610766,17.65469817,11.37850446,9.989996325,20.60762953,19.40592265,22.53889155,7.049147246,12.27955739
C12orf77__chr12,0.505394907,0,1.499367941,0,1.209030445,0,0,0,0,0,0,0,0,0,1.922494704,1.534944673
C12orf80__chr12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.281663136,0
C14orf1__chr14,1156.848943,978.4591086,1048.058191,1548.421374,1238.047175,1180.517087,2246.975762,1745.897985,1442.436556,1419.468432,1469.581038,1526.021387,1062.847456,306.5289251,1662.957919,1953.984569
C14orf105__chr14,51.55028054,90.67931948,40.4829344,33.12131282,50.77927867,65.58428259,20.5437784,19.95855072,12.40600412,5.689252232,13.14473201,24.30643483,17.16677773,31.55444818,28.19658898,17.39603963
C14orf119__chr14,155.1562365,176.2396451,173.9266811,182.1672205,175.3094145,95.85395147,132.2505734,144.4618909,208.9934541,201.9684542,143.0146842,209.2466998,161.2184343,225.3889155,205.7069333,201.5894004
C14orf132__chr14,3.537764351,0.731284835,0,1.656065641,0,0,11.55587535,4.752035886,2.862924028,1.422313058,3.154735682,4.227206057,1.492763281,0,2.563326271,1.534944673
C14orf142__chr14,66.20673285,75.32233796,55.47661381,99.36393846,89.4682529,237.1124063,37.87759142,58.92524499,83.97910483,95.29497488,110.4157489,101.9813461,79.86283551,180.3111324,66.00565149,70.09580675
C14orf159__chr14,44.98014674,48.99608392,47.97977411,18.21672205,43.52509601,25.22472407,49.43346677,54.1732091,31.01501031,86.76109654,40.48577458,53.89687723,20.89868593,180.3111324,60.23816738,59.35119404
C14orf166__chr14,254.7190332,296.9016428,386.8369287,281.531159,326.43822,282.5169096,206.7217701,316.48559,344.0280374,324.2873772,290.2356827,335.5344808,366.4733854,446.2700528,305.6766579,294.7093773
C14orf169__chr14,21.2265861,18.28212086,16.49304735,57.96229743,19.34448711,30.26966889,30.17367452,25.66099378,37.69516637,82.49415736,43.11472098,42.27206057,38.06546366,18.03111324,51.26652543,43.49009908
C14orf178__chr14,0,0.731284835,0,0,0,0,0,0,0.477154005,0,0,0,0,0,3.204157839,0
C14orf2__chr14,669.6482521,943.3574366,941.6030669,799.8797046,985.3598124,1135.112583,528.3603007,804.0444719,876.0547526,743.8697293,765.5491921,904.0936955,932.2306687,1401.919055,761.3079026,1025.343042
C14orf28__chr14,26.28053518,29.25139338,4.498103823,33.12131282,36.27091334,50.44944814,35.30961912,30.41302967,7.634464075,15.64544364,21.03157121,13.73841969,12.68848789,0,18.58411547,13.30285384
C14orf37__chr14,0.505394907,2.925139338,7.496839704,1.656065641,0,0,1.28398615,2.851221532,6.680156066,8.533878348,2.103157121,1.056801514,1.492763281,0,1.922494704,2.558241122
C14orf79__chr14,3.032369443,2.925139338,0,4.968196923,0,0,7.703916899,5.702443063,5.248694052,2.844626116,2.103157121,10.03961439,8.210198043,4.507778311,7.049147246,8.698019816
C14orf80__chr14,5.053949072,2.193854504,0,13.24852513,10.881274,0,12.8398615,3.801628709,1.908616019,14.22313058,3.154735682,4.227206057,9.702961324,0,8.97164195,10.74461271
C14orf93__chr14,33.35606388,21.93854504,25.48925499,21.52885333,45.9431569,0,71.90322439,90.28868183,22.42623822,35.55782645,33.65051394,68.69209843,23.88421249,0,33.32324153,33.76878281
C15orf39__chr15,29.81829953,19.0134057,29.98735882,43.05770666,59.24249179,50.44944814,27.60570222,37.06587991,20.0404682,46.93633091,38.38261746,56.53888102,26.86973905,36.06222649,16.0207892,16.37274318
C15orf40__chr15,42.45317221,46.07094458,32.9860947,56.30623179,66.49667445,20.17977926,31.45766067,38.96669426,23.85770024,49.78095703,33.65051394,47.55606815,54.48585974,22.53889155,44.85820975,38.37361683
C15orf41__chr15,30.82908934,26.32625404,1.499367941,23.18491897,42.31606556,0,11.55587535,3.801628709,24.33485424,213.3469587,25.76367473,32.23244619,36.57270038,13.52333493,22.42910487,25.070763
C15orf43__chr15,0,0,0,0,0,0,0,0,0,0,0,3.170404543,0,0,0,0
C15orf48__chr15,1179.591713,1139.341772,944.6018027,867.7783959,1614.055644,1589.157617,335.1203851,434.33608,146.0091254,128.0081752,162.4688876,151.1226166,163.4575792,595.026737,83.94893539,214.8922543
C15orf52__chr15,17.18342685,17.55083603,35.98483058,36.4334441,26.59866978,25.22472407,7.703916899,10.45447895,30.0607023,29.86857422,19.45420337,19.02242726,25.37697577,13.52333493,16.66162076,8.698019816
C15orf56__chr15,0,0,0,0,0,0,0.641993075,1.900814354,0.477154005,0,2.103157121,1.585202272,5.971053122,0,0,3.069889347
C15orf57__chr15,109.6706949,84.09775597,167.9292094,122.5488574,128.1572271,65.58428259,80.24913437,94.09031054,102.110957,54.0478962,69.92997428,74.50450676,105.9861929,76.63223128,98.04722988,105.9111825
C15orf59__chr15,0,0,0,0,1.209030445,0,0,0,0,0,0,0,0,0,0.640831568,0
C15orf61__chr15,38.41001295,35.83295689,46.48040617,49.68196923,33.85285245,110.9887859,62.91532134,37.06587991,48.66970848,96.71728794,47.84682451,58.65248405,61.20329451,81.14000959,32.04157839,63.44437983
C15orf62__chr15,2.021579629,0,0,1.656065641,7.254182668,0,0.641993075,1.900814354,1.908616019,12.80081752,0,0,0,0,0,1.023296449
C15orf65__chr15,54.07725507,29.25139338,35.98483058,29.80918154,38.68897423,70.6292274,0,17.10732919,10.4973881,0,7.361049924,20.07922877,7.463816403,4.507778311,20.50661017,13.81450206
C16orf13__chr16,165.7695296,178.4334996,122.9481712,137.4534482,165.6371709,100.8988963,270.2790845,306.0311111,207.561992,261.7056027,283.4004221,328.665271,172.4141589,153.2644626,270.4309216,322.8500296
C16orf45__chr16,20.21579629,32.17653272,23.98988705,28.1531159,14.50836534,5.044944814,20.5437784,27.56180814,10.97454211,15.64544364,78.34260276,14.26682044,20.89868593,13.52333493,16.0207892,31.72218992
C16orf46__chr16,2.021579629,5.118993842,1.499367941,0,6.045152223,0,10.91388227,5.702443063,4.771540047,0,13.14473201,13.21001893,8.210198043,0,13.45746292,8.698019816
C16orf52__chr16,40.43159258,32.90781755,41.98230234,9.936393846,22.97157845,20.17977926,46.86549447,47.52035886,34.83224234,24.17932199,72.0331314,54.95367875,32.84079217,72.12445297,69.20980933,29.16394879
C16orf58__chr16,306.2693138,285.2010855,419.8230234,470.322642,256.3144543,282.5169096,442.3332286,692.8468322,272.4549367,300.1080552,323.3604074,323.9096641,381.4010182,45.07778311,319.1341208,265.0337803
C16orf59__chr16,0,0,0,0,0,0,2.5679723,10.45447895,12.40600412,8.533878348,5.783682083,8.454412115,14.18125117,0,16.0207892,11.76790916
C16orf62__chr16,65.70133794,65.08435028,73.4690291,59.61836307,96.72243557,25.22472407,8.987903049,6.65285024,38.17232038,29.86857422,37.3310389,21.13603029,26.86973905,22.53889155,31.40074682,24.55911477
C16orf70__chr16,18.19421666,7.312848346,32.9860947,23.18491897,15.71739578,30.26966889,21.18577147,46.56995168,26.24347026,24.17932199,11.56736417,27.47683937,13.43486953,0,10.25330509,36.32702394
C16orf71__chr16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.534944673
C16orf72__chr16,364.895123,396.3563803,475.2996373,233.5052554,415.9064729,322.8764681,335.1203851,338.3449551,293.9268669,194.8568889,226.6151798,342.9320914,340.350028,527.4100624,392.8297511,178.5652303
C16orf74__chr16,0.505394907,2.925139338,2.998735882,0,0,0,16.69181995,12.3552933,18.13185218,8.533878348,14.72209985,6.340809086,16.42039609,58.60111804,17.30245233,11.25626094
C16orf86__chr16,1.010789814,0,0,0,0,0,1.28398615,5.702443063,0,0,0,0.528400757,0.74638164,0,4.485820975,0
C16orf87__chr16,5.053949072,8.775418015,4.498103823,9.936393846,4.836121778,0,5.135944599,0.950407177,7.634464075,4.266939174,13.67052129,8.454412115,8.956579684,4.507778311,21.78827331,7.163075142
C16orf89__chr16,0,0,0,0,2.418060889,0,0,0,0,0,0,0,0,0,0,0
C16orf91__chr16,43.46396202,20.47597537,68.97092528,23.18491897,21.762548,70.6292274,31.45766067,33.2642512,76.82179476,27.0239481,41.01156386,70.2773007,51.50033318,130.725571,63.44232522,62.93273161
C16orf95__chr16,11.62408287,9.506702849,0,9.936393846,78.5869789,20.17977926,32.74164682,16.15692201,9.543080094,4.266939174,16.29946769,17.96562574,20.89868593,0,19.22494704,10.23296449
C17orf100__chr17,23.24816573,38.0268114,17.99241529,26.49705026,4.836121778,0,21.82776455,26.61140096,10.4973881,21.33469587,21.03157121,21.13603029,20.15230429,4.507778311,21.78827331,27.1173559
C17orf107__chr17,0,0,0,1.656065641,0,0,0.641993075,0,3.817232038,0,0,0.528400757,1.492763281,0,0,0
C17orf51__chr17,8.086318516,0,10.49557559,13.24852513,6.045152223,5.044944814,12.19786842,15.20651484,20.0404682,11.37850446,23.66051761,17.43722499,23.88421249,0,10.89413665,11.76790916
C17orf53__chr17,2.526974536,3.656424173,0,0,0,0,1.925979225,5.702443063,0.477154005,4.266939174,11.56736417,6.869209843,5.971053122,0,9.612473518,6.139778693
C17orf58__chr17,83.8955546,99.4547375,125.946907,48.02590359,93.09534424,40.35955851,91.16301664,77.93338853,102.110957,92.45034877,101.4773311,118.3617696,102.2542847,184.8189107,103.1738824,135.5867795
C17orf62__chr17,38.41001295,33.63910239,41.98230234,62.93049436,51.98830912,25.22472407,26.96370915,54.1732091,31.49216431,58.31483538,72.0331314,48.61286966,34.33355545,4.507778311,47.42153602,53.72306357
C17orf67__chr17,16.17263703,18.28212086,4.498103823,6.624262564,3.627091334,5.044944814,8.987903049,12.3552933,11.92885012,9.956191406,7.886839204,2.642003786,14.18125117,22.53889155,8.330810382,11.25626094
C17orf75__chr17,17.68882175,29.25139338,14.99367941,29.80918154,13.29933489,20.17977926,16.04982687,26.61140096,25.76631625,39.82476562,24.18630689,29.5904424,20.15230429,27.04666986,18.58411547,32.23383814
